,min_score,mean_score,max_score,std_score,clf__estimator,clf__estimator__C,clf__estimator__degree,clf__estimator__gamma,clf__estimator__kernel
38,0.975975975975976,0.9799949650249052,0.9850299401197605,0.0037654337876152372,"SVC(C=10, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma=1, kernel='sigmoid',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",10,,1,sigmoid
78,0.972972972972973,0.9799919680159203,0.9880239520958084,0.0061861459854920305,"LinearSVC(C=1.0, class_weight=None, dual=True, fit_intercept=True,
     intercept_scaling=1, loss='squared_hinge', max_iter=1000,
     multi_class='ovr', penalty='l2', random_state=None, tol=0.0001,
     verbose=0)",100,,,
77,0.972972972972973,0.9799919680159203,0.9880239520958084,0.0061861459854920305,"LinearSVC(C=1.0, class_weight=None, dual=True, fit_intercept=True,
     intercept_scaling=1, loss='squared_hinge', max_iter=1000,
     multi_class='ovr', penalty='l2', random_state=None, tol=0.0001,
     verbose=0)",10,,,
45,0.972972972972973,0.9799919680159203,0.9880239520958084,0.0061861459854920305,"SVC(C=10, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma=1, kernel='sigmoid',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",100,,scale,rbf
40,0.96996996996997,0.9789909670149192,0.9880239520958084,0.007370512213533853,"SVC(C=10, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma=1, kernel='sigmoid',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",10,,10,linear
65,0.96996996996997,0.9789909670149192,0.9880239520958084,0.007370512213533853,"SVC(C=10, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma=1, kernel='sigmoid',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",1000,,0.1,sigmoid
31,0.96996996996997,0.9789909670149192,0.9880239520958084,0.007370512213533853,"SVC(C=10, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma=1, kernel='sigmoid',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",10,,scale,linear
64,0.96996996996997,0.9789909670149192,0.9880239520958084,0.007370512213533853,"SVC(C=10, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma=1, kernel='sigmoid',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",1000,,0.1,linear
33,0.96996996996997,0.9789909670149192,0.9880239520958084,0.007370512213533853,"SVC(C=10, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma=1, kernel='sigmoid',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",10,,0.1,rbf
34,0.96996996996997,0.9789909670149192,0.9880239520958084,0.007370512213533853,"SVC(C=10, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma=1, kernel='sigmoid',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",10,,0.1,linear
37,0.96996996996997,0.9789909670149192,0.9880239520958084,0.007370512213533853,"SVC(C=10, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma=1, kernel='sigmoid',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",10,,1,linear
63,0.96996996996997,0.9789909670149192,0.9880239520958084,0.007370512213533853,"SVC(C=10, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma=1, kernel='sigmoid',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",1000,,0.1,rbf
62,0.96996996996997,0.9789909670149192,0.9880239520958084,0.007370512213533853,"SVC(C=10, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma=1, kernel='sigmoid',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",1000,,scale,sigmoid
70,0.96996996996997,0.9789909670149192,0.9880239520958084,0.007370512213533853,"SVC(C=10, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma=1, kernel='sigmoid',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",1000,,10,linear
61,0.96996996996997,0.9789909670149192,0.9880239520958084,0.007370512213533853,"SVC(C=10, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma=1, kernel='sigmoid',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",1000,,scale,linear
43,0.96996996996997,0.9789909670149192,0.9880239520958084,0.007370512213533853,"SVC(C=10, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma=1, kernel='sigmoid',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",10,,100,linear
60,0.96996996996997,0.9789909670149192,0.9880239520958084,0.007370512213533853,"SVC(C=10, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma=1, kernel='sigmoid',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",1000,,scale,rbf
46,0.96996996996997,0.9789909670149192,0.9880239520958084,0.007370512213533853,"SVC(C=10, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma=1, kernel='sigmoid',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",100,,scale,linear
48,0.96996996996997,0.9789909670149192,0.9880239520958084,0.007370512213533853,"SVC(C=10, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma=1, kernel='sigmoid',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",100,,0.1,rbf
49,0.96996996996997,0.9789909670149192,0.9880239520958084,0.007370512213533853,"SVC(C=10, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma=1, kernel='sigmoid',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",100,,0.1,linear
50,0.96996996996997,0.9789909670149192,0.9880239520958084,0.007370512213533853,"SVC(C=10, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma=1, kernel='sigmoid',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",100,,0.1,sigmoid
52,0.96996996996997,0.9789909670149192,0.9880239520958084,0.007370512213533853,"SVC(C=10, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma=1, kernel='sigmoid',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",100,,1,linear
55,0.96996996996997,0.9789909670149192,0.9880239520958084,0.007370512213533853,"SVC(C=10, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma=1, kernel='sigmoid',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",100,,10,linear
67,0.96996996996997,0.9789909670149192,0.9880239520958084,0.007370512213533853,"SVC(C=10, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma=1, kernel='sigmoid',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",1000,,1,linear
58,0.96996996996997,0.9789909670149192,0.9880239520958084,0.007370512213533853,"SVC(C=10, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma=1, kernel='sigmoid',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",100,,100,linear
79,0.96996996996997,0.9789909670149192,0.9880239520958084,0.007370512213533853,"LinearSVC(C=1.0, class_weight=None, dual=True, fit_intercept=True,
     intercept_scaling=1, loss='squared_hinge', max_iter=1000,
     multi_class='ovr', penalty='l2', random_state=None, tol=0.0001,
     verbose=0)",1000,,,
73,0.96996996996997,0.9789909670149192,0.9880239520958084,0.007370512213533853,"SVC(C=10, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma=1, kernel='sigmoid',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",1000,,100,linear
68,0.972972972972973,0.9779929630229032,0.9850299401197605,0.0051246978288339035,"SVC(C=10, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma=1, kernel='sigmoid',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False)",1000,,1,sigmoid
